cpu_num,prefit_status,prefit_cpuTime,mufit_status,mufit_cpuTime,finalfit_status,finalfit_cpuTime,iterfit_cpuTime,iterfit_num,iterfit_num_success,mu,mu_err,lambda,lambda_err,alpha,alpha_err,mean,stderr,enf_GP,enf_GP_err,enf_data,enf_data_err,res_data,res_GP,res_GP_err,ped,ped_err,gain,ap_gain,ap_gain_err,rob_gain,rob_gain_err,gain_err,chi2,charge_fit_ndf,n_peaks_tofit,lower_edge,upper_edge,nbins,fd_bin_width,bin_width,sigmaAp,sigmaAp_err,sigma0,sigma0_err,sigmak,sigmak_err,n_peaks,events,run,vol,ch,pos,bl_rms,bl,vbd,ov,vbd_err,fit_gain,fit_gain_err,prefit_gain,prefit_gain_err,slope,slope_err,linear_chi2,ndf,rob_vbd,rob_vbd_err,vol_missing,fit_failure,large_chi2,params_missing,rate,dcr,dcr_err,dcr_cmf,dcr_norm_factor,charge_dcr,charge_dcr_err,robust_dcr,robust_dcr_err,match_x,match_y,match_x_err_down,match_x_err_up,match_y_err_up,match_y_err_down,ref_mu,ref_mu_err,temp,current,batch,box,tsn
24,0,21.225500106811523,4,3.042099475860596,0,11.483351707458496,16.08370746612549,25,25,1.106703590207856,0.0070921299874364,0.1856547065355554,0.0043976988132079,0.0049027379603973,0.002446091530062,27.617903319340485,41.435012600962175,1.2279803272954772,0.0066314469689089,2.491063850289572,0.0159635775916651,1.5002953744119212,1.05336781648566,0.0044137838114301,3722.446529623092,0.0410688179556473,28.2895443831856,11.225553497881862,2.473347423000706,20.322071584891955,0.1703056219723459,0.0300791280899268,1.1480646041825182,132.0,7.0,3699.856611196025,3948.0179321748656,139.6475072655913,1.851099107182704,0.9255495535913504,0.0,0.0,4.5506003766361935,0.0299649101749679,0.935959252513271,0.0299649101749679,6,26258,406,3,2,0,6.940287786807575,3733.6278119457374,46.41232571084365,4.587674289156347,0.0081788194759118,28.31138826508101,0.0642168482575142,28.2895443831856,0.0300791280899268,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,81.3445,139.117,2.68094,0.58472,1.71022,-6088.11,662.077,149.993,97.5583,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.187,1.608792e-08,1,101,1462
56,0,6.460039138793945,4,1.7962169647216797,0,5.423868894577026,13.612759782717776,26,19,1.0210197512816483,0.0066609499888378,0.1400945828012562,0.0041328368344702,1.270524539909168e-07,0.1844573353114592,19.555677453540408,28.43321717457749,1.1629185954632464,0.0055891644716899,2.15844216776424,0.0140812901172863,1.4539622696338688,1.067228921188799,0.0043239021717673,3721.252856626804,0.0436137734632211,22.13489268637392,0.359175347994992,1.2398599973290052,16.469841017455522,0.1334558686147925,0.0273770479692476,1.088112692997251,130.0,6.0,3698.1806002094536,3878.240272928067,137.51454757535336,1.3639441236507086,0.6546931793523412,0.0,0.0,4.630456845899236,0.029822401218607,0.5552579614637548,0.029822401218607,5,26538,406,2,2,0,7.131950707062139,3727.991040478001,46.41232571084365,3.5876742891563467,0.0081788194759118,22.140202936602225,0.0592580614284691,22.13489268637392,0.0273770479692476,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,56.8954,100.635,2.36311,0.565362,1.76878,-4966.88,636.222,115.373,74.1411,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.125,7.990134e-09,1,101,1462
64,0,5.701646327972412,4,2.4272537231445312,0,9.333026885986328,10.356955546599169,26,26,1.1488412942283155,0.0074734927754233,0.251712589207064,0.004206634826258,0.0096620562358236,0.0017549453711643,63.41950949858472,58.89030899875838,1.336384904485206,0.0075127326738477,0.9906082628294164,0.0064441483194623,0.928583482659584,1.0785387716328008,0.0046365101209025,3722.400072300177,0.0429586382485922,34.50507744452589,13.355466716285056,1.0415075992409737,41.307725266204415,0.3551540126429943,0.0279154483159729,1.0059350867406651,155.0,9.0,3699.254879786772,4068.766380889379,162.2326787267246,2.372566468540619,1.1388319048994977,0.0,0.0,4.689828886391659,0.0315640289285847,1.354764325474927,0.0315640289285847,6,25511,406,4,2,0,7.287798983871666,3712.750746255092,46.41232571084365,5.587674289156347,0.0081788194759118,34.482573593559806,0.0698990532799015,34.50507744452589,0.0279154483159729,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,111.036,181.649,3.0376,0.611266,1.63595,4461.07,434.172,202.006,119.434,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.125,2.746727e-08,1,101,1462
56,0,14.291130304336548,4,3.907315254211426,0,16.82302713394165,20.141692962646484,25,25,1.2005606830415163,0.0080164817090091,0.3795734883695094,0.0041866065030758,0.0283794895954689,0.0020012096219652,110.78083043912903,112.81794670380734,1.6117944369784978,0.0108763067744188,1.2451201640776663,0.0083140179099984,1.0183887072935207,1.1586780184443273,0.0054997828962386,3728.500203784112,0.0465896487733061,46.808272622440256,15.593898801070296,0.3916735707984493,57.24938785330929,0.5434800680149253,0.0285915946276205,1.6986146152301524,156.0,12.0,3704.7869746852816,4352.448957979172,163.5352610117378,4.605094490034457,2.302547245017226,0.0,0.0,4.885774126023655,0.0349708919399041,2.020490797481148,0.0349708919399041,6,25259,406,6,2,0,16.081296809179268,3713.058561429905,46.41232571084365,7.587674289156347,0.0081788194759118,46.82494425051739,0.0828214382168699,46.808272622440256,0.0285915946276205,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,203.519,309.336,3.85958,0.657923,1.51993,4553.84,430.802,340.184,183.891,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.25,8.758406e-08,1,101,1462
56,0,12.634548425674438,4,3.819592475891113,0,15.755084037780762,18.24141150474548,25,25,1.1749548672085286,0.0075728640121005,0.3105391449377984,0.0041839861637915,0.0170579374432844,0.0017354614687407,80.29802701813423,81.36675324002375,1.4504086673779066,0.0088017901982339,1.2064391146685411,0.0077757874870289,1.0133094954082515,1.1110525509912574,0.0049178248380995,3724.023105101116,0.043320822345322,40.669970072415154,14.457293659905996,0.5483637066908305,47.11870039677448,0.4171207112453724,0.0264120877855269,0.9696524784133518,128.0,10.0,3700.800496236439,4176.485806539172,135.12968146073464,3.6668889189184415,1.833444459459221,0.0,0.0,4.768665562035251,0.0326746134903603,1.6610985507267884,0.0326746134903603,6,26566,406,5,2,0,7.265524663493857,3715.291403403993,46.41232571084365,6.587674289156347,0.0081788194759118,40.6537589220386,0.0761428919345325,40.669970072415154,0.0264120877855269,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,145.441,229.593,3.29716,0.633474,1.5786,3315.93,302.079,251.465,139.135,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.25,5.02528e-08,1,101,1462
56,0,8.564558267593384,0,2.3823354244232178,0,5.441796064376831,6.718529013487009,26,26,0.8613005989722704,0.0062376859293103,0.0783006529731882,0.0044770889802483,4.238667909162164e-07,0.0019740440955858,17.560336127800642,17.465324768369438,1.0849524882769723,0.00527007949504,0.852005565227656,0.0061703697086199,0.9945894338958132,1.1223491589984391,0.004893611285514,3719.5689635466647,0.0565318146550453,15.974128366981525,6.233446721739879,5.048007938860167,18.79175558669996,0.1638697663314678,0.0515211191229987,0.9535962193008984,173.0,5.0,3694.6312002108994,3824.4211193091073,180.07503738096824,0.7667602574323439,0.3680449235675256,0.0,0.0,4.981001494661122,0.0322681916134199,0.0100410507281173,0.0322681916134199,4,25532,406,1,2,0,7.226835540895885,3716.931305182606,46.41232571084365,2.5876742891563467,0.0081788194759118,15.969017608123432,0.0552179353274036,15.974128366981525,0.0515211191229987,6.171185328478791,0.0086541404376605,0.0015786416774283,4,48.63206110510187,0.0268383400106562,0,0,0,0,31.8499,59.2383,2.81928,0.537657,1.85992,2984.6,521.969,86.9518,287.676,0.0,0.0,4.75,5.75,4.75,5.25,1.046298521244318,0.0256608747954598,-49.062,4.622012e-10,1,101,1462
24,0,13.01294732093811,4,4.849160432815552,0,21.948299884796143,24.06491919517517,25,25,1.0585982332726538,0.0072714676767626,0.3151524105052825,0.0045183702284897,0.0212268466858727,0.0025188506346576,66.0956395851376,79.74190508439493,1.4601789001517884,0.00963371846805,1.5408443135972003,0.0105839961461183,1.2064624169598903,1.17445789541021,0.0055929141952228,3721.629185727151,0.040910754972856,41.07560367115343,12.241720107258136,0.4978754878476747,42.75979122509502,0.407254860752707,0.0282863460332976,1.090005301361623,210.0,10.0,3698.804564041544,4175.922584581922,217.6353034038601,2.88458195574598,1.4422909778729869,0.0,0.0,4.623094205343885,0.0303380634930303,1.400670607801765,0.0303380634930303,6,25710,406,5,1,0,17.159461165055678,3721.526858804374,46.39952959797861,6.6004704020213865,0.0085414886671469,41.09759403103903,0.0796333351135482,41.07560367115343,0.0282863460332976,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,52.1797,82.1519,1.9677,0.635161,1.5744,280.947,25.5941,93.0454,49.5458,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.125,1.714373e-08,1,101,1462
24,0,8.063053131103516,4,2.93578839302063,0,11.253887414932253,13.274428615570068,25,25,1.0426090319085672,0.006978373046526,0.2567873642863212,0.0044027471868046,0.0107602780324373,0.0017480585689669,40.49764063636008,57.800361779252114,1.3455099549535217,0.0079707204699241,2.1238466302002683,0.0142152941568267,1.4272525725204124,1.1360114697255703,0.00507695987026,3722.470715549711,0.0383762731441947,34.86153948756002,12.473372004771674,0.7676897498061948,28.86830759794729,0.2580312665901276,0.0255514974938826,1.0721056599670014,145.0,8.0,3700.477539618743,4033.199077367219,152.45255195626018,2.321765547176269,1.1608827735881344,0.0,0.0,4.456160636236495,0.0278279736786917,1.0112409778427678,0.0278279736786917,5,26633,406,4,1,0,7.143746087591635,3731.854063415718,46.39952959797861,5.6004704020213865,0.0085414886671469,34.87112962352454,0.0731958490464581,34.86153948756002,0.0255514974938826,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,38.9708,63.5496,1.72819,0.613234,1.6307,-3812.98,371.097,74.4681,42.3765,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.187,1.078481e-08,1,101,1462
56,0,8.26908278465271,4,1.6930396556854248,0,5.312187194824219,15.46388568878174,25,13,0.936490782188,0.006499137650566,0.1383559462348509,0.0058331568852737,0.0001334541595964,0.1973159367848345,17.280674165748636,27.62397405468377,1.1605720432123603,0.0078568392309309,2.3930648012479026,0.0166075927770448,1.59854724356971,1.1132284553718934,0.0053963503811953,3721.977934145667,0.0444517269220341,22.46123966833568,0.1287558239483046,10.4350136068462,15.899558674973935,0.1541455199110407,0.0358752541171139,0.9289077318031472,136.0,6.0,3698.347818426504,3880.97334183528,143.89236743931292,1.35019303086665,0.6750965154333249,0.0,0.0,4.733393250657853,0.0310230420449539,0.4045568344354461,0.0310230420449539,5,25434,406,2,1,0,7.127176668493214,3729.131909608736,46.39952959797861,3.6004704020213865,0.0085414886671469,22.41820080849556,0.0622396751692561,22.46123966833568,0.0358752541171139,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,23.7874,42.131,1.56942,0.564606,1.77115,-5386.17,689.93,49.8237,28.0148,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.125,3.198998e-09,1,101,1462
56,0,6.916384935379028,0,2.349381923675537,0,14.221936225891112,14.431881776222816,26,25,0.7866946177716141,0.0058154560991429,0.0909997883425253,0.0057841894403566,0.0016198741853068,0.0058399140678622,21.285224233914462,17.178554885906873,1.1001097548443866,0.0070002659466949,0.5124163435372624,0.0037879180599521,0.8070647833972875,1.182537490802805,0.0057671125651584,3718.707230562679,0.0553216006212551,16.13274371121161,6.993589681853429,6.6729665354711845,24.594388847620248,0.2398885617727194,0.0493614142425098,1.0452562546826285,189.0,5.0,3694.991676741874,3823.601241337788,196.361891866216,0.7119151464012223,0.3417192702725868,0.0,0.0,4.737586806402859,0.0368920181826379,0.3658248442010724,0.0368920181826379,3,26852,406,1,1,0,7.851750757993195,3711.3944389720327,46.39952959797861,2.6004704020213865,0.0085414886671469,16.191736400981064,0.0580840576784365,16.13274371121161,0.0493614142425098,6.226464407514492,0.008979758115638,0.0089464624063989,4,47.779924995041696,0.0511661767901162,0,0,0,0,13.0429,23.9984,3.91229,0.543491,1.83996,8437.33,1475.58,50.5078,307.718,0.0,0.0,4.75,5.75,4.75,5.25,0.9338408915139932,0.0114207785967374,-49.0,2.460191e-10,1,101,1462
