voltage,dcr,dcr_err
2.5,3172.1068733861875,250.96032
3.5,4297.257944706592,183.6432
4.5,5973.150292132234,205.60608000000002
5.5,7584.38541466313,228.76559999999998
6.5,9766.063585399766,262.68048
7.5,11171.38832211353,279.22751999999997
